date;lake;real_chla;snap_chla
31/1/23;alange;2.95;28.0184
15/2/23;alange;2.95;19.1255
22/3/23;alange;2.11;26.93285
6/4/23;alange;6.12;25.22191
6/5/23;alange;5.6;9.790524
30/6/23;alange;15.92;14.36858
20/7/23;alange;10.71;18.92204
19/8/23;alange;12.38;17.57301
28/9/23;alange;6.93;16.26407
8/10/23;alange;6.56;18.33095
7/11/23;alange;1.93;19.22459
17/12/23;alange;1.69;32.61393
6/1/24;alange;4.07;15.33377
20/2/24;alange;2.73;17.83354
1/3/24;alange;2.06;18.82995
10/5/24;alange;6.17;10.9963
4/6/24;alange;6.54;7.65667
4/7/24;alange;8.38;10.53069
3/8/24;alange;8.7;11.27696
2/9/24;alange;4.4;12.69438
22/10/24;alange;4.04;12.59323
6/11/24;alange;3.32;19.06989
6/12/24;alange;3.32;12.0907
22/3/23;orellana;3.41;16.821896
11/4/23;orellana;3.69;8.519572
11/5/23;orellana;7.04;20.615227
25/6/23;orellana;8.96;14.452343
10/7/23;orellana;8.15;27.617538
14/8/23;orellana;6.79;13.07469
23/9/23;orellana;7.06;13.944072
8/10/23;orellana;6.11;28.316866
22/11/23;orellana;13.93;30.164652
17/12/23;orellana;11.32;6.50022
26/1/24;orellana;12.75;27.899376
20/2/24;orellana;10.02;12.38776
16/3/24;orellana;11.16;26.313524
25/4/24;orellana;2.91;25.714874
25/5/24;orellana;26.35;19.479773
24/6/24;orellana;3.65;22.057232
24/7/24;orellana;4.77;15.047148
23/8/24;orellana;4.38;28.812134
17/9/24;orellana;10.85;25.36435
22/10/24;orellana;16.52;16.804655
11/11/24;orellana;5.36;32.81115
21/12/24;orellana;3.23;25.051453
31/1/23;tentudia;2.13;27.013458
15/2/23;tentudia;9.43;0.16663598
22/3/23;tentudia;31.83;24.536274
6/4/23;tentudia;7.25;8.734585
6/5/23;tentudia;20.61;23.624386
30/6/23;tentudia;13.12;17.029593
20/7/23;tentudia;8.69;24.333
19/8/23;tentudia;4.68;31.24481
28/9/23;tentudia;1.11;23.57612
8/10/23;tentudia;19.55;16.810402
7/11/23;tentudia;29.66;22.966661
17/12/23;tentudia;65.69;27.31479
6/1/24;tentudia;79.26;21.791319
20/2/24;tentudia;54.51;30.272036
1/3/24;tentudia;74.78;26.284533
14/6/24;tentudia;35.02;19.268026
3/8/24;tentudia;17.36;12.416298
2/9/24;tentudia;8.45;23.651985
22/10/24;tentudia;17.02;29.721315
6/11/24;tentudia;14.18;33.143364
6/12/24;tentudia;14.18;20.906067
24/1/24;villar_del_rey;12.13;15.0686655
23/2/23;villar_del_rey;11.34;30.042103
22/8/23;villar_del_rey;9.53;25.094015
1/9/23;villar_del_rey;10.84;8.479226
11/10/23;villar_del_rey;3.96;28.272013
25/11/23;villar_del_rey;6.92;15.48106
15/12/23;villar_del_rey;2.55;25.858568
28/2/24;villar_del_rey;21.24;32.354214
13/4/24;villar_del_rey;27.06;23.198572
8/5/24;villar_del_rey;9.18;27.66196
23/5/24;villar_del_rey;5.36;24.019146
12/6/24;villar_del_rey;34.56;18.042349
7/7/24;villar_del_rey;40.64;27.064804
6/8/24;villar_del_rey;40.64;29.965607
15/9/24;villar_del_rey;5.76;32.866444
20/10/24;villar_del_rey;8.89;32.748
10/7/23;zujar;4.27;18.306805
14/8/23;zujar;4.03;16.006071
23/9/23;zujar;2.75;12.137537
8/10/23;zujar;6.46;19.13169
22/11/23;zujar;2.08;29.3184
17/12/23;zujar;33.67;25.664667
20/2/24;zujar;20.19;21.86428
16/3/24;zujar;31.53;21.179441
25/4/24;zujar;16.91;9.450165
25/5/24;zujar;23.73;10.218454
24/6/24;zujar;8.6;7.3419347
24/7/24;zujar;15.15;28.489067
23/8/24;zujar;5.19;17.803827
17/9/24;zujar;4.24;10.42448
22/10/24;zujar;8.26;15.750539
11/11/24;zujar;3.38;26.473219
21/12/24;zujar;7.28;30.32578
